Piwot - skrajny element tablicy.
Ilosc elementow sortowanych		Czas
2			14
3			14
4			15
5			18
6			19
7			20
8			21
9			21
10			25
20			63
30			137
40			232
50			313
60			495
70			670
80			979
90			1158
100			1428
200			7453
300			15896
400			32965
500			56661
600			70307
700			116386
800			145319
900			186152
1000			225942
2000			1.01568e+006
3000			2.60468e+006
4000			4.61182e+006
5000			7.23204e+006
6000			1.15267e+007
7000			1.5506e+007
8000			2.11145e+007
9000			2.58443e+007
Piwot - mediana z losowego ciagu trzech liczb.
Ilosc elementow sortowanych		Czas
2			14
3			22
4			23
5			29
6			31
7			37
8			32
9			55
10			49
20			134
30			285
40			384
50			611
60			730
70			1704
80			1445
90			1846
100			2416
200			9801
300			25475
400			43003
500			64130
600			114349
700			147365
800			215433
900			238642
1000			287058
2000			1.17473e+006
3000			2.68279e+006
4000			4.91466e+006
5000			7.86841e+006
6000			1.10807e+007
7000			1.51806e+007
8000			1.9998e+007
9000			2.52756e+007
Piwot - srodkowy element tablicy.
Ilosc elementow sortowanych		Czas
2			16
3			24
4			31
5			28
6			29
7			31
8			33
9			49
10			73
20			122
30			203
40			411
50			574
60			731
70			1302
80			1447
90			1976
100			2258
200			10157
300			23820
400			41841
500			67667
600			108950
700			137958
800			198279
900			235541
1000			545211
2000			1.21211e+006
3000			2.7843e+006
4000			5.31634e+006
5000			8.01544e+006
6000			1.11593e+007
7000			1.57893e+007
8000			2.03201e+007
9000			2.60453e+007
Piwot - srodkowy element tablicy.
Ilosc elementow sortowanych		Czas
2			19
3			21
4			23
5			34
6			33
7			36
8			36
9			51
10			54
20			132
30			217
40			413
50			577
60			786
70			1278
80			1480
90			1917
100			2327
200			9797
300			24187
400			44773
500			64214
600			110081
700			144792
800			194284
900			242933
1000			277245
2000			1.17369e+006
3000			2.71265e+006
4000			4.85113e+006
5000			8.06374e+006
6000			1.09694e+007
7000			1.54162e+007
8000			2.07041e+007
9000			2.52465e+007
